ts	phase	decision	why	evidence	result
2026-09-15T18:55:00-07:00	frame	Use Agent-37 as the destination and keep each source in a named module	The user chose the destination and asked for distinct projects with labeled differences	work/consolidation-playbook.md	open
2026-09-15T18:56:00-07:00	frame	Treat dirty working trees as source data	Uncommitted Agent-37, PrimeCraft, and Mindcraft CE work must survive consolidation	outputs/primecraft-mindcraft-agent37-inventory.md	open
2026-09-15T18:57:00-07:00	workflow	Use Agent Engineering ADOPT before imports	Its operating layer preserves an existing README and project rules while adding goal, architecture, status, security, and verification contracts	work/agent-engineering/tooling/adopt.sh	open
2026-09-15T18:58:00-07:00	workflow	Publish a review branch without rewriting main	A branch preserves rollback and lets GitHub show every labeled import diff	work/consolidation-playbook.md	open
2026-09-15T19:25:00-07:00	safety	Capture bundles, binary patches, and untracked-file copies before destination commits	The destination and both CE-family sources contain uncommitted work and must remain recoverable	work/safety	passed
2026-09-15T19:31:00-07:00	architecture	Evaluate history, snapshot, and branch-separated designs	The sources combine shallow history, dirty trees, non-Git projects, and overlapping Prime files	work/designs	open
2026-09-15T19:47:00-07:00	architecture	Use complete per-project snapshots with provenance instead of subtrees or conceptual overlays	PrimeCraft is shallow; complete snapshots keep every project runnable and distinct while comparison manifests label intentional overlap	work/designs/judge.md	accepted
2026-09-15T19:48:00-07:00	sequencing	Commit the Agent-37 dirty combat product before Agent Engineering adoption	The irreplaceable working tree gets the shortest clean recovery path and generated files remain a separate diff	work/consolidation-design.md	accepted
2026-09-15T21:05:00-07:00	verification	Verifier enumerates git-tracked files, hooks set PYTHONDONTWRITEBYTECODE and use uv --offline --no-sync	Offline checks generated __pycache__ that failed the tree walk, and plain uv run tried to sync dependencies and hung	scripts/verify-provenance.py scripts/project/test	accepted
2026-09-15T21:06:00-07:00	import	Anchor root .gitignore runtime rules and track the Mineflayer adapter under projects/primecraft-runtime/work	The unanchored work/ rule silently dropped manifest-listed adapter source from commit 8	provenance/manifests/primecraft-runtime-dest.sha256	fixed
2026-09-16T09:54:40-07:00	feature	Retrofit TypeSafe Jev as fast-brain tactical layer	Jev answers judgments only; geometry/aiming/timing stay in code via the tactical reflex skill + /v1/tactic TTL seam	projects/fast-brain/docs/jev-tactical.md; tests/test_jev.py	accepted
